x (m),y (m)
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-0.0
0.01,-0.0
0.01,-0.0
0.02,-0.0
0.03,-0.0
0.03,-0.0
0.04,-0.0
0.05,-0.0
0.06,-0.0
0.07,-0.0
0.08,-0.0
0.09,-0.0
0.1,-0.0
0.12,-0.0
0.13,-0.0
0.14,-0.0
0.15,-0.0
0.16,-0.0
0.17,-0.0
0.18,-0.0
0.2,-0.0
0.21,-0.0
0.22,-0.0
0.23,-0.0
0.24,-0.0
0.25,-0.0
0.26,-0.0
0.28,-0.0
0.29,-0.0
0.3,-0.01
0.31,-0.01
0.32,-0.01
0.34,-0.01
0.35,-0.01
0.36,-0.01
0.37,-0.01
0.38,-0.01
0.39,-0.01
0.41,-0.01
0.42,-0.01
0.43,-0.01
0.44,-0.01
0.45,-0.01
0.46,-0.01
0.48,-0.01
0.49,-0.02
0.5,-0.02
0.51,-0.02
0.52,-0.02
0.53,-0.02
0.55,-0.02
0.56,-0.02
0.57,-0.02
0.58,-0.02
0.59,-0.02
0.6,-0.03
0.62,-0.03
0.63,-0.03
0.64,-0.03
0.65,-0.03
0.66,-0.03
0.67,-0.03
0.68,-0.03
0.7,-0.04
0.71,-0.04
0.72,-0.04
0.73,-0.04
0.74,-0.04
0.75,-0.04
0.76,-0.04
0.77,-0.05
0.79,-0.05
0.8,-0.05
0.81,-0.05
0.82,-0.05
0.83,-0.05
0.84,-0.06
0.85,-0.06
0.86,-0.06
0.87,-0.06
0.89,-0.06
0.9,-0.07
0.91,-0.07
0.92,-0.07
0.93,-0.07
0.94,-0.07
0.95,-0.08
0.96,-0.08
0.97,-0.08
0.98,-0.09
0.99,-0.09
1.01,-0.09
1.02,-0.1
1.03,-0.1
