x (m),y (m)
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-0.0
0.01,-0.0
0.01,0.0
0.02,0.0
0.03,0.0
0.03,0.0
0.04,0.0
0.05,0.0
0.06,0.0
0.07,0.0
0.09,0.0
0.1,0.0
0.11,0.0
0.12,0.0
0.13,0.0
0.14,0.0
0.15,0.0
0.16,0.0
0.17,0.0
0.18,0.0
0.2,0.0
0.21,0.0
0.22,0.0
0.23,0.0
0.24,0.0
0.25,0.0
0.26,0.0
0.28,0.0
0.29,0.0
0.3,0.0
0.31,0.0
0.32,0.01
0.33,0.01
0.34,0.01
0.36,0.01
0.37,0.01
0.38,0.01
0.39,0.01
0.4,0.01
0.41,0.01
0.42,0.01
0.43,0.01
0.44,0.01
0.45,0.02
0.46,0.02
0.47,0.02
0.49,0.02
0.5,0.02
0.51,0.02
0.52,0.03
0.53,0.03
0.54,0.03
0.55,0.03
0.56,0.04
0.57,0.04
0.58,0.04
0.59,0.04
0.6,0.05
0.61,0.05
0.62,0.05
0.63,0.06
0.64,0.06
0.65,0.06
0.67,0.07
0.68,0.07
0.69,0.07
0.7,0.07
0.71,0.08
0.72,0.08
0.73,0.08
0.74,0.09
0.75,0.09
0.76,0.09
0.77,0.1
0.78,0.1
0.79,0.11
0.81,0.11
0.82,0.11
0.83,0.12
0.84,0.12
0.85,0.12
0.85,0.12
0.86,0.13
0.87,0.13
0.87,0.13
0.88,0.14
0.88,0.14
0.89,0.14
0.89,0.14
0.9,0.15
0.9,0.15
0.91,0.15
0.91,0.15
0.92,0.16
0.92,0.16
0.92,0.16
0.93,0.17
0.93,0.17
0.94,0.17
0.94,0.17
0.94,0.18
0.95,0.18
0.95,0.18
0.95,0.18
0.95,0.18
0.95,0.18
0.95,0.18
0.95,0.18
0.95,0.18
0.95,0.18
0.95,0.18
0.95,0.18
0.95,0.18
0.95,0.18
0.95,0.18
0.95,0.18
0.95,0.18
0.95,0.18
0.95,0.18
0.95,0.18
0.95,0.18
0.95,0.18
0.95,0.19
0.95,0.19
0.95,0.19
0.96,0.19
0.96,0.19
0.96,0.19
0.96,0.19
0.96,0.2
0.97,0.2
0.97,0.2
0.97,0.2
0.98,0.2
0.98,0.21
0.98,0.21
0.98,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
0.99,0.21
1.0,0.21
1.0,0.21
1.0,0.22
1.0,0.22
1.01,0.22
1.01,0.22
1.01,0.22
1.02,0.23
1.02,0.23
1.02,0.23
1.03,0.24
1.03,0.24
1.03,0.24
1.04,0.25
1.04,0.25
1.05,0.25
1.05,0.26
1.06,0.26
